filename,kappa,c,logL,detector,duration,sample_rate,filepath
H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5,0.0,0.75,-576188.6802105192,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5,1.0,0.0,-127957.341289785,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5,1.0,0.75,-127394.67302146235,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5,0.0,0.0,-576139.6228417448,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5,0.0,0.75,-576139.6228417448,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5,1.0,0.0,-127963.78765245428,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5,1.0,0.75,-127400.34610698298,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252699621-32.hdf5
H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5,0.0,0.0,-576112.810527003,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5
H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5,0.0,0.75,-576112.810527003,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5
H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5,1.0,0.0,-127967.85455107252,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5
H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5,1.0,0.75,-127404.21336621194,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253509418-32.hdf5
H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5,0.0,0.0,-576110.4897711654,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5,0.0,0.75,-576110.4897711654,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5,1.0,0.0,-127968.08517403246,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5,1.0,0.75,-127404.38770900636,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1253753280-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5,0.0,0.0,-576155.6456239298,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5
H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5,0.0,0.75,-576155.6456239298,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5
H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5,1.0,0.0,-127961.1397509648,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5
H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5,1.0,0.75,-127397.6680030654,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1260484255-32.hdf5
H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5,0.0,0.0,-576115.260902017,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5
H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5,0.0,0.75,-576115.260902017,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5
H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5,1.0,0.0,-127967.4266534923,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5
H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5,1.0,0.75,-127403.69757943964,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1263097392-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5,0.0,0.0,-576215.684739505,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5,0.0,0.75,-576215.684739505,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5,1.0,0.0,-127952.84356765382,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5
H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5,1.0,0.75,-127390.11740647488,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266618157-32.hdf5
