filename,best_kappa,best_c,best_logL,entropy_shape,data_points,energy_min,energy_max,obs_min,obs_max,meta_detector,meta_duration,meta_sample_rate,meta_filepath
L-L1_GWOSC_4KHZ_R1-1369417271-4096.hdf5,1.0,0.75,-127407.51716194415,log,400,100.0,150.0,0.001,0.005,L1,4096.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1369417271-4096.hdf5
L-L1_GWOSC_4KHZ_R1-1369419303-32.hdf5,1.0,0.75,-123655.34117866609,log,400,100.0,150.0,0.001,0.005,L1,32.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1369419303-32.hdf5
V-V1_GWOSC_16KHZ_R1-1245035064-32.hdf5,1.0,0.75,-126527.73388549068,log,400,100.0,150.0,0.001,0.005,V1,32.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1245035064-32.hdf5
V-V1_GWOSC_16KHZ_R1-1258864118-4096.hdf5,1.0,0.75,-126867.65979911358,log,400,100.0,150.0,0.001,0.005,V1,4096.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1258864118-4096.hdf5
V-V1_GWOSC_16KHZ_R1-1258866150-32.hdf5,1.0,0.75,-126637.1711041644,log,400,100.0,150.0,0.001,0.005,V1,32.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1258866150-32.hdf5
V-V1_GWOSC_16KHZ_R1-1260484255-32.hdf5,1.0,0.75,-125636.3102420616,log,400,100.0,150.0,0.001,0.005,V1,32.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1260484255-32.hdf5
V-V1_GWOSC_16KHZ_R1-1262877888-4096.hdf5,1.0,0.75,-125065.85373976576,log,400,100.0,150.0,0.001,0.005,V1,4096.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1262877888-4096.hdf5
V-V1_GWOSC_16KHZ_R1-1268429047-4096.hdf5,1.0,0.75,-126250.202616848,log,400,100.0,150.0,0.001,0.005,V1,4096.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1268429047-4096.hdf5
V-V1_GWOSC_16KHZ_R1-1268901464-4096.hdf5,1.0,0.75,-126805.82813832842,log,400,100.0,150.0,0.001,0.005,V1,4096.0,16384.0,data\V-V1_GWOSC_16KHZ_R1-1268901464-4096.hdf5
V-V1_GWOSC_4KHZ_R1-1260484255-32.hdf5,1.0,0.75,-124091.73691207053,log,400,100.0,150.0,0.001,0.005,V1,32.0,4096.0,data\V-V1_GWOSC_4KHZ_R1-1260484255-32.hdf5
toy.csv,1.0,0.75,-1688.0550026622077,log,400,115.0,135.0,0.0032417575454009,0.0290092989497069,,,,
